UF,Cidade,País,Instituição,Formação,Área,Sub Área,Data Inscrição,Categoria,Inscrição,Credenciado,Data Credenciamento,Hora Credenciamento,Material,Inscrito,Código de Conduta,Com qual das opções abaixo você se identifica?,Como você classificaria seu nível de conhecimento em Python?,Como você se define?,Como você se identifica?,Direitos de conteúdo e imagem,Termo de consentimento para tratamento de dados pessoais,"Você possui alguma deficiência? Se sim, qual?",Você programa em Python?,Você trabalha com Python
PI,Parnaíba,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,30/04/2025 15:24:00,MEIA - 2° LOTE,Aprovado,sim,21/06/2025,09:55,sim,sim,SIM,Prefiro não responder,Iniciante,Uma pessoa branca,Homem,SIM,SIM,Não respondeu,Comecei no último ano,"Não, mas pretendo"
MA,Timon,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,15/06/2025 15:05:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Iniciante,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,Há mais de um ano,Não
RN,Natal,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,14/04/2025 22:13:00,INTEIRA - 2° LOTE,Aprovado,sim,21/06/2025,10:27,sim,sim,SIM,Heterossexual / Cisgênero,Avançado,Uma pessoa branca,Homem,SIM,SIM,Não respondeu,Há mais de dez anos,Sim
PI,Teresina,Brasil,Icev - Instituto de Ensino Superior,Graduação,Outra,Outra,26/05/2025 01:36:00,INTEIRA - ÚLTIMO LOTE,Aprovado,sim,21/06/2025,14:02,sim,sim,SIM,Heterossexual / Cisgênero,Avançado,Uma pessoa negra,Mulher,SIM,SIM,Não respondeu,Há mais de cinco anos,Sim
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/06/2025 12:53:00,EXCLUSIVO PATROCINADORES,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,Comecei no último ano,Sim
PI,Teresina,Brasil,IFPI - INSTITUTO FEDERAL DO PIAUÍ - CAMPUS TERESINA CENTRAL,Não respondeu,Não respondeu,Não respondeu,20/02/2025 01:09:00,MEIA - 1° LOTE,Aprovado,sim,21/06/2025,08:48,sim,sim,SIM,Prefiro não responder,Iniciante,Prefiro não responder,Mulher,SIM,SIM,Não respondeu,Comecei no último ano,"Não, mas pretendo"
Não respondeu,Não respondeu,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,15/06/2025 14:24:00,INTEIRA - ÚLTIMO LOTE,Aprovado,sim,21/06/2025,10:03,sim,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,15/05/2025 12:36:00,MEIA - ÚLTIMO LOTE,Aprovado,sim,21/06/2025,09:31,não,sim,SIM,Heterossexual / Cisgênero,Ainda vou aprender,Uma pessoa parda,Mulher,SIM,SIM,Não respondeu,"Não programo em Python, mas sei programar em outras linguagens","Não, mas pretendo"
PB,João Pessoa,Brasil,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,Não respondeu,Não respondeu,Não respondeu,17/02/2025 15:25:00,PROMOCIONAL,Aprovado,sim,21/06/2025,10:12,sim,sim,SIM,Parte da comunidade LGBTQIA+,Avançado,Uma pessoa negra,Mulher,SIM,SIM,Não respondeu,Há mais de dez anos,Sim
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,18/06/2025 18:21:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,sim,21/06/2025,10:34,sim,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa parda,Mulher,SIM,SIM,Não respondeu,Há mais de três anos,"Não, mas pretendo"
PI,Teresina,Brasil,UNINASSAU- mauricio de nassau,Graduação,Não respondeu,Não respondeu,21/04/2025 22:33:00,INTEIRA - 2° LOTE,Aprovado,não,Não credenciado,Não credenciado,não,sim,SIM,Parte da comunidade LGBTQIA+,Ainda vou aprender,Uma pessoa branca,Homem,SIM,SIM,Deficiências Ocultas - Autismo,"Não programo em Python, mas sei programar em outras linguagens","Não, mas pretendo"
CE,Fortaleza,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,13/06/2025 19:48:00,EXCLUSIVO PATROCINADORES,Aprovado,sim,21/06/2025,10:59,sim,sim,SIM,Heterossexual / Cisgênero,Ainda vou aprender,Uma pessoa branca,Mulher,SIM,SIM,Não respondeu,Não sei programar,Não
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,19/06/2025 19:17:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,sim,21/06/2025,09:00,não,sim,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu
PI,Altos,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,11/06/2025 17:02:00,Exclusivo da organização,Aprovado,sim,21/06/2025,14:44,sim,sim,SIM,Heterossexual / Cisgênero,Ainda vou aprender,Uma pessoa negra,Homem,SIM,SIM,Não respondeu,Não sei programar,Sim
PI,Parnaíba,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,30/04/2025 01:55:00,MEIA - 2° LOTE,Aprovado,sim,21/06/2025,09:47,sim,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa branca,Homem,SIM,SIM,Não respondeu,Há mais de um ano,Sim
PI,Parnaíba,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,30/04/2025 01:46:00,MEIA - 2° LOTE,Aprovado,sim,21/06/2025,09:44,sim,sim,SIM,Heterossexual / Cisgênero,Intermediário,Uma pessoa branca,Homem,SIM,SIM,Não respondeu,Comecei no último ano,Não
PI,Teresina,Brasil,UFPI - UNIVERSIDADE FEDERAL DO PIAUÍ - CAMPUS MINISTRO PETRÔNIO PORTELA,Graduação,Ciências Exatas e da Terra,Física,15/06/2025 21:39:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,sim,21/06/2025,08:55,sim,sim,SIM,Prefiro não responder,Avançado,Outro,Homem,SIM,SIM,Não,Há mais de dez anos,Não
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,18/06/2025 00:55:00,INGRESSO SOCIAL - RESGATE COM O CUPOM,Aprovado,sim,21/06/2025,09:45,sim,sim,SIM,Prefiro não responder,Iniciante,Uma pessoa parda,Mulher,SIM,SIM,nao,Comecei no último ano,"Não, mas pretendo"
PI,Teresina,Brasil,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,17/02/2025 18:36:00,MEIA - 1° LOTE,Aprovado,sim,21/06/2025,09:01,não,sim,SIM,Heterossexual / Cisgênero,Ainda vou aprender,Uma pessoa parda,Homem,SIM,SIM,Não respondeu,"Não programo em Python, mas sei programar em outras linguagens","Não, mas pretendo"
